NB;NAME;NAME_MOD;COUNTRY;LATITUDE;LONGITUDE;FOUNDATION;Mi;My;Pn;AUTH_ANC;AUTH_MOD;DOC1_Papers;DOC2_papers;DOC3_www;DOC4_www;WIKIPEDIA;PLEIADES;DARE;TRISMEGISTOS;TOPOSText;AM;PP;RE;SI;SU;PS;BW;QU;PL;MO;CN;SL;SH;SY;EX;LK;PH;HO;VM;FT;FP;QR;FO;SW
963,1;;Roman villa Rubino, Villa di Cicerone;Italy West;41,25140;13,60000;;;;;;Lafon;;;;;;;;;;m;;;;;X;;;;;;;;;;;;;X;;X;;;
964;Formiae, Formies, Hormies ;Roman villa Sarinola at Formia;Italy West;41,25323;13,60604;-330;;;;"Tacitus, Annales, 15, 46 ; Strabo, Geogr, 5, 3";Flemming, Lafon;;;;;https://en.wikipedia.org/wiki/Formia;http://pleiades.stoa.org/places/432839;http://imperium.ahlfeldt.se/places/16716;https://www.trismegistos.org/place/32462;https://topostext.org/place/413136UFor;a;;r;;-0,6;;;X;;;;;;;;;;;X;;;;;
965;Formiae, Formies, Hormies ;Roman villa Comunale at Formia;Italy West;41,25546;13,60878; ;;;;;Flemming, Oleson, Lafon;;;;;https://en.wikipedia.org/wiki/Formia;http://pleiades.stoa.org/places/432839;;https://www.trismegistos.org/place/32462;https://topostext.org/place/413136UFor;m;;r;;;X;;;;;;;;;;;;;X;X;X;;;
966;;Roman villa Mamurra, with fish tank at Porticciolo Romano, Torre Gianola;Italy West;41,24790;13,67500;-330;;;;;Flemming, Oleson, Lafon;Stefanile (2015);Stefanile (2022);;;;http://pleiades.stoa.org/places/432863;http://imperium.ahlfeldt.se/places/22276;;;m;;r;;;X;X;;;;;;;;;;;;X;X;X;;;
967;Pyrae?;Roman villa at Scauri ;Italy West;41,25066;13,70368;-330;;;;;Lafon;;;;;https://en.wikipedia.org/wiki/Minturno;http://pleiades.stoa.org/places/433111;http://imperium.ahlfeldt.se/places/35114;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
968;Minturnae, on via Appia, with Pons Tirenus bridge on R Liris;Minturno on R Garigliano;Italy West;41,24100;13,77090;-296;;;;Livy, Hist, 36, 3;Flemming;Brookes (1974);Bellotti (2016);https://books.openedition.org/cdf/4278;;https://en.wikipedia.org/wiki/Minturno;http://pleiades.stoa.org/places/432940;http://imperium.ahlfeldt.se/places/16714;https://www.trismegistos.org/place/14433;https://topostext.org/place/412138UMin;a;;;;;X;;;;;;;;;;;;;;;;;;
968,1;Marica temple, sea-port of Minturnae;Outlet of R Garigliano;Italy West;41,22650;13,76450;-700;;;;Plutarch, Marius, 39 & 42;;Ruegg (1995);Bellotti (2016);https://books.openedition.org/cdf/4278;;;https://pleiades.stoa.org/places/432925;;;;a;;;;;;;;;;;;;;;;;;;;;;;
969;;Roman villa San Limato ;Italy West;41,15847;13,84080;-330;;;;;;;;;;;http://pleiades.stoa.org/places/433159;http://imperium.ahlfeldt.se/places/35115;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
970;Sinuessa, Sinuesa, Sinope;Baia Azzurra Levagnole, near Mondragone;Italy West;41,14944;13,85000;-550;;;;Livy, Hist, 36, 3;Lehmann, Flemming;;;;;https://en.wikipedia.org/wiki/Sinuessa;http://pleiades.stoa.org/places/433122;http://imperium.ahlfeldt.se/places/21310;https://www.trismegistos.org/place/32437;https://topostext.org/place/411139USin;a;;;;;;;;;;;;;;;;;;;;;;;
971;;Roman villa at Treppete, near Mondragone;Italy West;41,12983;13,86509;-30;;;;;;;;;;;http://pleiades.stoa.org/places/433165;http://imperium.ahlfeldt.se/places/35116;;;m;;;;;;;;;;;;;;;;;;X;;;;;
972;Aquae Sinuessanae & Pagus Sarclanus?;Starza di Mondragone;Italy West;41,12280;13,91250;-330;;;;;Lafon;;;;;;http://pleiades.stoa.org/places/433003;http://imperium.ahlfeldt.se/places/29152;https://www.trismegistos.org/place/42743;;m;;;;;;;;;;;;;;;;;;;;;;;
973;Volturnum, on R Vulturnus;Castel Volturno, on R Volturno;Italy West;41,01860;13,92000;-550;;;;;;;;;;https://en.wikipedia.org/wiki/Castel_Volturno;http://pleiades.stoa.org/places/433210;http://imperium.ahlfeldt.se/places/23181;https://www.trismegistos.org/place/32591;https://topostext.org/place/410139WVol;m;;;;;X;;;;;;;;;;;;;;;;;;
974;Liternum, Linternum, port of the Osci, Oskoi, Osques, Opici, Aurunci, Ausones;Lago di Patria;Italy West;40,92133;14,02990;-330;;;;;Flemming;Poupet (2005);;;;https://en.wikipedia.org/wiki/Liternum;http://pleiades.stoa.org/places/432911;http://imperium.ahlfeldt.se/places/23180;https://www.trismegistos.org/place/32481;https://topostext.org/place/409140ULit;m;;;;;;;;;;;;;;;;;;;;;;;
975;Cumae, Cumes, Kyme;Cuma, with uncertain location of ancient port NE and/or SW of the acropolis, and uncertain Fossa Neronis;Italy West;40,84666;14,05127;-750;;;;"Scylax, Peripl ; Scymnos, Periodos ; Dionysius, Antiquites, 7, 2 ; Antonine, Itin Mar";Flemming, Blackman, Trethewey, Huissen, Hansen, Botte;Poupet (2005);;Vecchi (2000);;https://en.wikipedia.org/wiki/Cumae;http://pleiades.stoa.org/places/432808;http://imperium.ahlfeldt.se/places/16719;https://www.trismegistos.org/place/14437;https://topostext.org/place/408141PCum;a;;r;X;;;;;;;;X?;X?;;;;X?;;;;X;;;
975,1;;Roman villa di Servilio Vatia, at Torre Vageta Fusaro;Italy West;40,81270;14,04410;30;;;;;Lafon;;;;;;;;;;m;;;;;;;;;;;;;;;;;;X;;;;;
976;Aenaria ;Baia di Cartaromana, on the isle of Ischia;Italy West;40,72910;13,96050;;;;;"Plutarch, Marius, 43 ; Antonine, Itin Mar";;Tardugno (2021);;;https://www.ischia.it/en/aenaria-the-underwater-city;https://en.wikipedia.org/wiki/Ischia;http://pleiades.stoa.org/places/432648;http://imperium.ahlfeldt.se/places/42338;https://www.trismegistos.org/place/32363;;a;;rs;;;;;;;;;;;;;;;;;;;;;
976,1;;Porto d'Ischia, on the isle of Ischia;Italy West;40,74431;13,94057; ;;;;;;;;;;https://en.wikipedia.org/wiki/Ischia;;;;;m;p;;;;X;;;;;;;;;;;;;;;;;;
977;Pithekoussai, Pithecusae, Etruscan Inarime;Monte Vico, at San Montano, on the isle of Ischia;Italy West;40,75430;13,88591;-700;;;X;Scylax, Peripl;Flemming, Dawson, Markoe, Hansen;;;;;https://en.wikipedia.org/wiki/Lacco_Ameno;http://pleiades.stoa.org/places/433026;http://imperium.ahlfeldt.se/places/22960;https://www.trismegistos.org/place/23501;https://topostext.org/place/408139IPit;a;;;;;X;;;;;;;;;;;;;;;;;;
978;;Punta Chiarito, on the isle of Ischia;Italy West;40,69669;13,87906;-700;;;;;;;;;;https://en.wikipedia.org/wiki/Ischia;http://pleiades.stoa.org/places/433055;http://imperium.ahlfeldt.se/places/29157;;;m;;;;;X;;;;;;;;;;;;;;;;;;
978,1;Procita, Prochyta insula;Isle of Procida;Italy West;40,75907;14,01673;-700;;X;;"Dionysius, Antiquites, 1, 53 ; Antonine, Itin Mar";Dawson;Vanschoonwinkel (2006);;;;https://en.wikipedia.org/wiki/Procida;http://pleiades.stoa.org/places/433053;http://imperium.ahlfeldt.se/places/41252;;;a;;;;;X;;;;;;;;;;;;;;;;;;
978,2;;Punta d'Alaca & Punta di Mezzogiorno, on the isle of Vivara;Italy West;40,74000;13,99200;-1500;;X;;;;;;http://www.vivarariservanaturalestatale.it/;;https://en.wikipedia.org/wiki/Vivara;;;;;m;;rs;;;X;;;;;;;;;;;;;;;;;;
979;;Roman villa di Lucullo, Grotta della Dragonara, with fresh-water fish tank;Italy West;40,78240;14,08460;-30;;;;;Lafon;Caporizzo (2022);;;;;;;;;m;;;;;;;;;;;;;;;;;;X;X;X;;;
980;Misenos, Misenum, Misene, home port of Classis Misenensis fleet;Capo Miseno, west of Naples;Italy West;40,79000;14,08500;-30;;;;"Flaccus, Argonauticas, Livre 1, near 375-386 ; Vegetius, Art Militaire, 5, 1-15 ; Strabo, Geogr, 5, 4 ; Dionysius, Antiquites, 1, 53 ; Antonine, Itin Mar ; Florus, Hist, 1, 16";Lehmann, Flemming, Blackman, Pitassi, Trethewey;Benini (2005);;https://www2.rgzm.de/navis2/home/frames.htm;;https://en.wikipedia.org/wiki/Miseno;http://pleiades.stoa.org/places/432941;http://imperium.ahlfeldt.se/places/16720;https://www.trismegistos.org/place/3152;https://topostext.org/place/408141HMis;a;p;rs;;-1,6;X;X;X;;X;;;;;;;X;;;;;;;
981;Misenos, Misenum, Misene ;Punta Terone, pilae of the southern breakwater;Italy West;40,78830;14,08987; ;;;;;Oleson, Trethewey;Gianfrotta (1996);Caporizzo (2022);;;https://en.wikipedia.org/wiki/Miseno;http://pleiades.stoa.org/places/432941;;https://www.trismegistos.org/place/3152;https://topostext.org/place/408141HMis;m;p;rs;;X;;X;;X;X;;;;;;;X?;;;X;X;;;
982;Misenos, Misenum, Misene ;Punta di Pennata, pilae of the northern breakwater;Italy West;40,78976;14,08908; ;;;;;Oleson, Trethewey;Gianfrotta (1996);;;;https://en.wikipedia.org/wiki/Miseno;http://pleiades.stoa.org/places/432941;;https://www.trismegistos.org/place/3152;https://topostext.org/place/408141HMis;m;p;rs;;X;;X;;X;;;;;;;;X?;;;;;;;
983;Misenos, Misenum, Misene ;Punta Sarparella, concrete jetty within the harbour;Italy West;40,79024;14,08290; ;;;;;Oleson;;;;;https://en.wikipedia.org/wiki/Miseno;http://pleiades.stoa.org/places/432941;;https://www.trismegistos.org/place/3152;https://topostext.org/place/408141HMis;m;p;rs;;X;;;X;;X;;;;;;;;;;;;;;
984;Misenos, Misenum, Misene ;Punta di Pennata, pilae within the harbour;Italy West;40,79140;14,08524; ;;;;;Oleson;;;;;https://en.wikipedia.org/wiki/Miseno;http://pleiades.stoa.org/places/432941;;https://www.trismegistos.org/place/3152;https://topostext.org/place/408141HMis;m;p;rs;;X;;X;;X;;;;;;;;;;;;;;;
984,1;;Roman villa di Lucullo, on isola Pennata;Italy West;40,79220;14,08840;30;;;;;Lafon;;;;;;;;;;m;;;;;;;;;;;;;;;;;;X;;;;;
984,2;;Roman villa Cento Camerelle, Bacoli;Italy West;40,79840;14,08530;-30;;;;;Lafon;;;;;;;;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
985;Bauli;Roman villa Tomba di Agrippina, Bacoli;Italy West;40,80286;14,08134;-330;;;;;Lafon;;;;;https://en.wikipedia.org/wiki/Bacoli;http://pleiades.stoa.org/places/432720;http://imperium.ahlfeldt.se/places/24882;https://www.trismegistos.org/place/32281;https://topostext.org/place/408141UBau;m;;;;;X;;;;;;;;;;;;;X;;;;;
985,1;;Roman villa near via Lucullo & Castello Aragonese, Bacoli;Italy West;40,81260;14,07660;-30;;;;;Lafon;Caporizzo (2022);;;;;;;;;m;;;;;X;;;;;;;;;;;;;X;X;X;;;
986;Baiae, Baïes, Portus Baianus, with connection to Lacus Baianus;Baia, two concrete moles over 200 m long, and several Roman villas: Terme di Mercurio, Terme di Sosandra, Terme di Venere, Templo di Diana, Villa dei Pisoni, Palazzo dei Cesari;Italy West;40,81850;14,07670;-330;;;;"Statius, Silves, 4, 3 ; Pliny, Hist Nat, 3, 9 ; Florus, Hist, 1, 16";Flemming, Oleson, Trethewey, Lafon;Brandon (2008);Gianfrotta (2012);Davidde Petriaggi (2020);Caporizzo (2022);https://en.wikipedia.org/wiki/Baiae;http://pleiades.stoa.org/places/432716;http://imperium.ahlfeldt.se/places/22558;https://www.trismegistos.org/place/32453;https://topostext.org/place/408141PBai;a;;rs;;-2,8;X;X;;X;;;;;;;;X?;;X;X;X;;;
987;Portus Iulius, Julius, port of Julien, with connection to Lacus Lucrinus;Lucrino, two concrete moles over 200 m long;Italy West;40,82648;14,09471; ;;;;"Dio Cassius, Hist, 48, 50 ; Suetonius, Auguste, 16 ; Virgil, Georgiques, 2, 160 ; Florus, Hist, 4, 8";Flemming, Oleson, Trethewey, Huissen;Brandon (2008);Gianfrotta (2012);Pagano (2021);https://www2.rgzm.de/navis2/home/frames.htm;https://en.wikipedia.org/wiki/Lucrinus_Lacus;https://pleiades.stoa.org/places/432915?searchterm=lucrin;http://imperium.ahlfeldt.se/places/40428;https://www.trismegistos.org/place/32454;https://topostext.org/place/408141WLuc;a;;rs;;X;;X;;X;;;;;;;;X?;;;X;X;;;
988;Navale di Agrippa, on Lacus Avernus, Odysseus' stopover at the Halls of Hades possibly in this area;Lake Averno;Italy West;40,83797;14,07598; ;;;;"Homer, Odyssey, 10, 511 ; Strabo, Geogr, 5, 4 ; Velleius, Hist, 2, 79 ; Florus, Hist, 4, 8";Cuisenier;;;;;https://en.wikipedia.org/wiki/Lake_Avernus;http://pleiades.stoa.org/places/432712;;https://www.trismegistos.org/place/42488;https://topostext.org/place/408141WAve;a;;;;;;;;;;;;;;;;;;;;;;;
989;Vicus Annianus, Invinias;Pozzuoli West;Italy West;40,82988;14,10502;300;;;;;;Amato (2013);;;;https://it.wikipedia.org/wiki/Portus_Iulius;http://pleiades.stoa.org/places/432885;http://imperium.ahlfeldt.se/places/23179;;;m;;;;X;;;;;;;;;;;;;X;;;;;;
990;Vicus Lartidianus;Pozzuoli West;Italy West;40,82940;14,11250; ;;;;;;Amato (2016);;;;https://it.wikipedia.org/wiki/Portus_Iulius;;;;;m;;rs;;X;;;;;;;;;;;;;X;;;;;;
991;Puteoli, Dikaiarcheia, Dicearque, Flavia Colonia Augusta Puteoli, in the Campi Phlegraei volcano district;Pozzuoli, Pouzzoles, Puteoles, in the Campi Flegrei volcano district, pilae of arched mole are under modern breakwater (Molo Caligoliano);Italy West;40,82160;14,11540;-750;;;;"Strabo, Geogr, 5, 4 ; Seneca, Lukeilius, 77 ; Statius, Silves, 3, 2 ; Bible, Acts, 28:13 ; Josephus Flavius, Vie, 3 ; Chaeremon, Phtomyris, 1, 46-47 & 53 ; Antiphilus, Epigr, 7, 379 ; Philostratus, Apollonios, 7, 16 & 8, 24 ; Antonine, Itin Mar ; CIL X.1641";Lehmann, Flemming, Pauly, Blackman, Oleson, Trethewey, Huissen;Amato (2013);Dubois (1907);Gianfrotta (1996);https://www2.rgzm.de/navis2/home/frames.htm;https://en.wikipedia.org/wiki/Pozzuoli;http://pleiades.stoa.org/places/432815;http://imperium.ahlfeldt.se/places/16721;https://www.trismegistos.org/place/3189;https://topostext.org/place/408141PDik;a;p;rs;;-2,0;X;X;X;X;X;;;;X;;;X;X;;;;;;
991,1;Puteoli, Dikaiarcheia, Dicearque;Rocca di Rione Terra, large number of submerged pilae;Italy West;40,81930;14,11930;30;;;;;Oleson;Stefanile (2021);Dubois (1907);;;;;;;;m;;rs;;X;;X;;X;;;;;;;;;;;;;;;
992;Nesis, Odysseus' port of the Cyclops ?;Porto Paone, on the isle of Nisida, which is now connected to the continent by a breakwater, at Naples (Cuisenier mentions this site with two other possible sites: Marettimo and Faraglioni, Nisida clearly providing the best shelter as described by Homer);Italy West;40,79429;14,16112; ;;X;;Homer, Odyssey, 9, 136;Lehmann, Flemming, Cuisenier;;;;;https://en.wikipedia.org/wiki/Nisida;http://pleiades.stoa.org/places/432980;;;;a;;rs;;-2,0;;X;;;X;;;;;;;;;;;;;;
993;Nesis;Nisida, very large pila of over 1500 m3 remaining from an arched mole;Italy West;40,79615;14,16893; ;;;;;Oleson;Mattei (2018);Gianfrotta (1996);;;https://en.wikipedia.org/wiki/Nisida;http://pleiades.stoa.org/places/432980;;;;m;;rs;;;X;;;X;;;;;;;;;;;;;;;
994;Imperial Villa of Pausilypon ;Roman villa at Posillipo, protected by row of pilae;Italy West;40,79300;14,18830; ;;;;;Lehmann, Flemming, Oleson, Lafon;;;;;https://en.wikipedia.org/wiki/Posillipo#Imperial_villa;;http://imperium.ahlfeldt.se/places/24883;;;m;;rs;;X;X;X;X;X;;;;;;;;;;X;;;;;
994,1;Imperial Villa of Pausilypon ;Palazzo degli Spiriti, with pilae;Italy West;40,79340;14,19170;;;;;;;Aucelli (2017);;;;https://en.wikipedia.org/wiki/Posillipo#Imperial_villa;;;;;m;;rs;;X;X;X?;X?;X;;;;;;;;;;X;;;;;
995;Imperial Villa of Pausilypon ;Pollion's villa at Porto Marechiaro, with pilae;Italy West;40,79470;14,19190; ;;;;;Oleson;Aucelli (2017);;;;https://en.wikipedia.org/wiki/Posillipo#Imperial_villa;;http://imperium.ahlfeldt.se/places/24883;;;m;;rs;;-2;X;X;;X;;;;;;;;;;X;;;;;
996;Megaris insula;Castell del'Ovo, at Pizzofalcone in Naples;Italy West;40,82710;14,24810;;;;;;;Donadio (2019);;;;https://en.wikipedia.org/wiki/Castel_dell%27Ovo;;;;;m;;rs;;;;X?;;;;X;;;;;;;;X;;X?;;;
997;Parthenope, Neapolis;Santa Lucia, near Pizzofalcone in Naples, but port probably at Piazza Municipio since early times;Italy West;40,83980;14,25220;-750;;;;"Livy, Hist, 36, 42 ; Silius, Pun, 14 ; Procopius, Guerre Goths, 1, 8";Flemming;;Giampaola (2021);;;https://en.wikipedia.org/wiki/History_of_Naples;http://pleiades.stoa.org/places/433014;http://imperium.ahlfeldt.se/places/1524;https://www.trismegistos.org/place/2676;https://topostext.org/place/408142PNea;a;p;;;;X;;;;;;;;;;;;;;;;;;
997,1;Neapolis ;Naples, Piazza Municipio, offshore Roman pier made with timber caissons;Italy West;40,83927;14,25462;-600;;;;"Scylax, Peripl ; Scymnos, Periodos ; Procopius, Guerre Goths, 1, 8 ; Livy, Hist, 36, 42";Oleson, Huissen, Hansen;Boetto (2009);Giampaola (2021);Casarna (2016);;https://en.wikipedia.org/wiki/History_of_Naples;http://pleiades.stoa.org/places/433014;http://imperium.ahlfeldt.se/places/1524;https://www.trismegistos.org/place/2676;https://topostext.org/place/408142PNea;a;;r;X;;X;X;X;X;;;;;;;;;;;;;;;
998;Neapolis ;Naples, Piazza Municipio, onshore Roman quay;Italy West;40,83926;14,25240;-600;;;;"Scylax, Peripl ; Scymnos, Periodos ; Procopius, Guerre Goths, 1, 8 ; Livy, Hist, 36, 42";Oleson, Huissen, Hansen;Boetto (2009);Giampaola (2021);Casarna (2016);;https://en.wikipedia.org/wiki/History_of_Naples;http://pleiades.stoa.org/places/433014;http://imperium.ahlfeldt.se/places/1524;https://www.trismegistos.org/place/2676;https://topostext.org/place/408142PNea;a;;r;X;;X;;X;;;;;;;;;;;;;;;;
999;;Roman villa dei Papiri;Italy West;40,80790;14,34460;-50;;;;;Lafon;;;;;;;;;;m;;;;-1,0;X;;;;;;;;;;;;;X;;;;;
999,1;Herculaneum, Etruscan Herclena;Ercolano, Resina;Italy West;40,79980;14,35000;-550;;;;;Flemming, shipwreck;Bosco (2019);;;;https://en.wikipedia.org/wiki/Herculaneum;http://pleiades.stoa.org/places/432873;http://imperium.ahlfeldt.se/places/21353;https://www.trismegistos.org/place/3365;https://topostext.org/place/408143UHer;m;;;;X;;;;;;;;;;;;;;;;;;;X
1000;;Roman villa Sora, near Torre del Greco;Italy West;40,77828;14,37469;-50;;;;Boetto (2009);;;;;;;;http://imperium.ahlfeldt.se/places/42388;;;a;;;;;X;;;;;;;;;;;;;X;;;;;
1001;Oplontis ;Villa di Poppea, near Torre Annunziata;Italy West;40,75755;14,45250;-330;;;;;Lafon;;;https://pompeiiinpictures.com/pompeiiinpictures/RV/villas%20new.htm;;https://en.wikipedia.org/wiki/Oplontis;http://pleiades.stoa.org/places/432992;http://imperium.ahlfeldt.se/places/21354;https://www.trismegistos.org/place/32518;https://topostext.org/place/408145UOpl;m;;;X;;X;;;;;;;;;;;;;;;;;;
1001,1;Oplontis ;Roman villa di Lucius Tertius Crassus;Italy West;40,75620;14,45660;;;;;;Lafon;;;https://pompeiiinpictures.com/pompeiiinpictures/RV/villas%20new.htm;;https://en.wikipedia.org/wiki/Oplontis;;;;;m;;;X;;;;;;;;;;;;;;;X;;;;;
1002;Pompeia, Porta Marina, Etruscan Pumpai;Pompei, uncertain location of ancient port on R Sarno near Porta Marina and/or near Porta Stabia?, with several Roman villas: Misteri, Diomede, Colonne a mosaico, Cicerone, Imperiale;Italy West;40,74893;14,48226;-750;;;;Strabo, Geogr, 5, 4;Flemming, Lafon, Botte, Huissen;Descoeudres (2000);Beneduce (2012);;Arkadias;https://en.wikipedia.org/wiki/Pompeii;http://pleiades.stoa.org/places/433032;http://imperium.ahlfeldt.se/places/21352;https://www.trismegistos.org/place/2788;https://topostext.org/place/407145PPom;a;;r;X;;;;X?;;X;;;;;;;;;X;;X;;;
1002,1;Pompeia, Porta Stabia, Etruscan Pumpai;Pompei, uncertain location of ancient port on R Sarno near Porta Marina and/or near Porta Stabia?, with several Roman villas: Misteri, Diomede, Colonne a mosaico, Cicerone, Imperiale;Italy West;40,74730;14,49080;-750;;;;Strabo, Geogr, 5, 4;Flemming, Lafon, Huissen;Flohr (2017);Stefani (2003);Curti (2008);Arkadias;https://en.wikipedia.org/wiki/Pompeii;http://pleiades.stoa.org/places/433032;http://imperium.ahlfeldt.se/places/21352;https://www.trismegistos.org/place/2788;https://topostext.org/place/407145PPom;a;;;X;;;;;;;;;;;;;;;X;;;;;
1003;Stabiae ;Castellammare di Stabia, with several Roman villas: Petraro, San Marco, Pastore, Ariana;Italy West;40,69976;14,49260;-330;;;;;Flemming, Lafon;;;;;https://en.wikipedia.org/wiki/Stabiae;http://pleiades.stoa.org/places/433128;http://imperium.ahlfeldt.se/places/16722;https://www.trismegistos.org/place/14340;https://topostext.org/place/407145USta;m;;;;;X;;;;;;;;;;;;;X;;;;;
1004;Aequana ;Roman villa at Pezzolo beach, Marina di Seiano,near Vico Equense;Italy West;40,66170;14,42150;-750;;;;;;Aucelli (2016);;;;;http://pleiades.stoa.org/places/432649;http://imperium.ahlfeldt.se/places/29119;https://www.trismegistos.org/place/14339;;m;;;;;X;X;;X?;;;;;;;;;;X;;;;;
1005;;Piano di Sorrento ;Italy West;40,64582;14,40272;-550;;;;;;;;;;https://en.wikipedia.org/wiki/Piano_di_Sorrento;http://pleiades.stoa.org/places/433021;http://imperium.ahlfeldt.se/places/22399;;;m;;;;;X;;;;;;;;;;;;;;;;;;
1005,1;;Roman villa at Marina Piccola;Italy West;40,63010;14,37780;;;;;;Lafon;;;;;;;;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
1006;Surrentum, Etruscan Irnthi;Sorrento, Roman villa Agrippa Postumus at Marina Grande;Italy West;40,62790;14,36980;-330;;;;;Lafon;Aucelli (2016);;;;https://en.wikipedia.org/wiki/Sorrento;http://pleiades.stoa.org/places/433139;http://imperium.ahlfeldt.se/places/16723;https://www.trismegistos.org/place/14448;https://topostext.org/place/406144USur;m;;;;-1,0;X;;X;;;;;;;;;;;X;;X;;;
1007;;Roman villa at Capo di Sorrento, Bagni della Regina Giovanna;Italy West;40,63380;14,35190;-30;;;;;Flemming, Oleson, Lafon;Aucelli (2016);;;;;http://pleiades.stoa.org/places/432749;http://imperium.ahlfeldt.se/places/35106;;;m;;r;;;;;X;;;;;;;;;;;X;;;;;
1007,1;;Roman villa at Marina di Puolo, at Punta della Calcarella;Italy West;40,62940;14,34840;;;;;;Lafon;;;;;;;;;;m;;;;;;;;;;;;;;;;;;X;;;;;
1008;;Roman villa at Capo di Massa;Italy West;40,62630;14,34040; ;;;;;Lafon;;;;;;;http://imperium.ahlfeldt.se/places/42283;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
1008,1;Minervae Prom.;Roman villa at Punta Campanella;Italy West;40,56920;14,32440;-30;;;;;;Aucelli (2016);;;;https://en.wikipedia.org/wiki/Punta_Campanella_Lighthouse;https://pleiades.stoa.org/places/432938;http://imperium.ahlfeldt.se/places/41250;https://www.trismegistos.org/place/49920;https://topostext.org/place/406143SMin;m;;;;;;;X;;;;;;;;;;;;;;;;
1009;Capraria, Capreae insula;Bagni di Tiberio, near Marina Grande on the isle of Capri, with lighthouse at Roman villa Jovis;Italy West;40,55769;14,23659;-550;;;;"Tacitus, Annales, 4, 67 ; Antonine, Itin Mar";Lehmann, Flemming, Dawson, Oleson, Trethewey, Lafon;;;;;https://en.wikipedia.org/wiki/Marina_Grande,_Capri;http://pleiades.stoa.org/places/432751;http://imperium.ahlfeldt.se/places/22631;https://www.trismegistos.org/place/32415;https://topostext.org/place/406143ICap;a;;r;;;X;X;X;X;;;;;;;;X;;X;;;;;
1010;Capraria, Capreae insula;Palazzo a Mare, near Marina Grande on the isle of Capri;Italy West;40,55960;14,22880;-30;;;;;Oleson, Lafon;;;;;https://en.wikipedia.org/wiki/Palazzo_a_Mare;http://pleiades.stoa.org/places/433006;http://imperium.ahlfeldt.se/places/22398;;;m;;r;;;X;X;X;X;;;;;;;;;;;;;;;
1010,1;Capraria, Capreae insula;Roman villa Damecuta on the isle of Capri;Italy West;40,55920;14,20000;30;;;;;Lafon;;;;;https://en.wikipedia.org/wiki/Capri;;;;;m;;;;;;;;;;;;;;;;;;X;;;;;
1011;Capraria, Capreae insula;Scoglio del Monacone, near the isle of Capri;Italy West;40,54310;14,25620; ;;;;;Oleson;;;;;;;;;;m;;r;;;;;X?;X;;;;;;;;;;;;;;;
1012;Capraria, Capreae insula;Marina Piccola, on the isle of Capri;Italy West;40,54454;14,23487; ;;;;;Oleson;;;;;https://en.wikipedia.org/wiki/Marina_Piccola;;;;;m;;r;;;X;;X?;;;;;;;;;;;;;;;;
1013;;Roman villa on Scoglio Isca, Galluzzo;Italy West;40,58800;14,37660;30;;;;;Lafon;;;;;;;;;;m;;;;;;;;;;;;;;;;;;X;;;;;
1013,1;Seirenoussai nesoi, Anthemoessa insulae, Anthemuse, possible Siren islands, no stopover for Odysseus;isola di Gallo Lungo;Italy West;40,58250;14,43365;-750;;X;;"Homer, Odyssey, 12, 39 ; Scymnos, Periodos ; Apollonius, Argonauticas, 4, 890";Cuisenier, Oleson, Lafon;;;;;;http://pleiades.stoa.org/places/433124;http://imperium.ahlfeldt.se/places/41251;;https://topostext.org/place/406144ISei;a;;r;;;X;;X?;X;;;;;;;;;;;;;;;
1014;;Roman villa at Positano ;Italy West;40,62815;14,48710;-30;;;;;;Foresta (2013);;http://www.positanonline.it/ts_villa_baia_positano.htm;;https://en.wikipedia.org/wiki/Positano;http://pleiades.stoa.org/places/433048;http://imperium.ahlfeldt.se/places/21355;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
1015;Amalfi Civitas ;Amalfi;Italy West;40,62935;14,60290;300;;;;;;;;;;https://en.wikipedia.org/wiki/Amalfi;http://pleiades.stoa.org/places/432670;http://imperium.ahlfeldt.se/places/16724;;;m;;;;;X;;;;;;;;;;;;;;;;;;
1016;;Roman villa at Minori ;Italy West;40,65050;14,62620;-30;;;;;Lafon;Foresta (2013);;;;https://en.wikipedia.org/wiki/Minori,_Campania;http://pleiades.stoa.org/places/432939;http://imperium.ahlfeldt.se/places/22400;;;m;;;;;X;;;;;;;;;;;;;X;;;;;
1017;Vietri ;Punta Fuenti, near Vietri sul Mare;Italy West;40,65773;14,71307;-750;;;;;;Pecci (2013);;;;https://en.wikipedia.org/wiki/Vietri_sul_Mare;http://pleiades.stoa.org/places/433199;http://imperium.ahlfeldt.se/places/29171;https://www.trismegistos.org/place/32536;;m;;rs;;;;;;X;;;;;;;;;;;;;;;
1018;Salernum, Etruscan Irna;Salerno;Italy West;40,67095;14,76110; ;;;;;Flemming;;;;;https://it.wikipedia.org/wiki/Salerno;http://pleiades.stoa.org/places/433075;http://imperium.ahlfeldt.se/places/1523;https://www.trismegistos.org/place/14450;https://topostext.org/place/407148USal;m;p;;;;X;;;;;;;;;;;;;;;;;;
